春咲ひより=ฮารุซากิ ฮิโยริ
草野優衣=คุซาโนะ ยุย
士条怜=ชิโจ เรย์
穂高みそぎ=โฮดากะ มิโซงิ
織原茉莉=โอริฮาระ มัทสึริ
風宮あかり=คาเซมิยะ อาคาริ
出雲宮子=อิซึโมะ มิยาโกะ
虹村雪=นิชิมุระ ยูกิ
姫宮真歩=ฮิเมมิยะ มาโฮะ
衣之咲璃乃=อิโนะซากิ ริโนะ
柏崎初音=คาชิวาซากิ ฮาสึเนะ
丹野七々香=ทันโนะ นานากะ
霧原かすみ=คิริฮาระ คาสึมิ
愛川美里=ไอคาวะ มิซาโตะ
美波鈴奈=มินามิ สึซึนะ
喜屋武香織=แคน คาโอริ
支倉伊緒=ฮาเซคุระ อิโอะ
茜ミミ=อาคาเนะ มิมิ
栗林くるみ=คุริบายาชิ คุรุมิ
風宮より=คาเซมิยะ โยริ
北条綾音=โฮโจ อายาเนะ
天野すずめ=อามาโนะ สึซึเมะ
森近鈴=โมริจิกะ ริน
倉石恵理子=คุราอิชิ เอริโกะ
佐々木咲恋=ซาซากิ ซาเร็น
桜井望=ซากุไร โนโซมิ
上喜しのぶ=คามิกิ ชิโนบุ
藤堂秋乃=โทโด อากิโนะ
綾瀬ゆかり=อายาเสะ ยูคาริ
氷川鏡華=ฮิคาวะ เคียวกะ
御久間智=มิคุมะ โทโมะ
柏崎栞=คาชิวาซากิ ชิโอริ
双葉碧=ฟุตาบะ อาโออิ
三角千歌=มิสุมิ จิกะ
安芸真琴=อากิ มาโคโตะ
遠見空花=โทมิ คูกะ
白銀純=ชิโรกาเนะ จุน
大神美冬=โองามิ มิฟุยุ
宵ヶ浜深月=โยอิงาฮามะ มิสึกิ
繭宮つむぎ=มายุมิยะ สึมุกิ
石橋あゆみ=อิชิบาชิ อายูมิ
太刀洗流夏=ทาจิอาราอิ รุกะ
スズメ(サマー)=สึซึเมะ (ฤดูร้อน)
